Model,Acceleration Rate,SSIM
AFT-Net (I),4x,0.96870179
AFT-Net (I),4x,0.967850283
AFT-Net (I),4x,0.966306069
AFT-Net (I),4x,0.959703337
AFT-Net (I),4x,0.919317198
AFT-Net (I),4x,0.916272816
AFT-Net (I),4x,0.914398053
AFT-Net (I),4x,0.915385978
AFT-Net (I),4x,0.956709583
AFT-Net (I),4x,0.95542625
AFT-Net (I),4x,0.956809192
AFT-Net (I),4x,0.958302526
AFT-Net (I),4x,0.890262588
AFT-Net (I),4x,0.890809295
AFT-Net (I),4x,0.876344898
AFT-Net (I),4x,0.86972431
AFT-Net (I),4x,0.942843775
AFT-Net (I),4x,0.945632954
AFT-Net (I),4x,0.943629847
AFT-Net (I),4x,0.94247709
AFT-Net (I),4x,0.943925522
AFT-Net (I),4x,0.943553147
AFT-Net (I),4x,0.943407653
AFT-Net (I),4x,0.942326812
AFT-Net (I),4x,0.953846717
AFT-Net (I),4x,0.955031478
AFT-Net (I),4x,0.951447998
AFT-Net (I),4x,0.949561998
AFT-Net (I),4x,0.951260193
AFT-Net (I),4x,0.953946451
AFT-Net (I),4x,0.955154246
AFT-Net (I),4x,0.951707507
AFT-Net (I),4x,0.956300241
AFT-Net (I),4x,0.957722335
AFT-Net (I),4x,0.957106505
AFT-Net (I),4x,0.954764668
AFT-Net (I),4x,0.936874015
AFT-Net (I),4x,0.936722929
AFT-Net (I),4x,0.937229459
AFT-Net (I),4x,0.936341813
AFT-Net (I),8x,0.934965657
AFT-Net (I),8x,0.933628219
AFT-Net (I),8x,0.932727869
AFT-Net (I),8x,0.932187053
AFT-Net (I),8x,0.89606422
AFT-Net (I),8x,0.906197725
AFT-Net (I),8x,0.903465493
AFT-Net (I),8x,0.902534181
AFT-Net (I),8x,0.909762808
AFT-Net (I),8x,0.911531613
AFT-Net (I),8x,0.912013599
AFT-Net (I),8x,0.909045011
AFT-Net (I),8x,0.945175163
AFT-Net (I),8x,0.945525215
AFT-Net (I),8x,0.945048723
AFT-Net (I),8x,0.944448564
AFT-Net (I),8x,0.950312796
AFT-Net (I),8x,0.95061698
AFT-Net (I),8x,0.949722939
AFT-Net (I),8x,0.950838669
AFT-Net (I),8x,0.918833558
AFT-Net (I),8x,0.954228709
AFT-Net (I),8x,0.953075613
AFT-Net (I),8x,0.955229231
AFT-Net (I),8x,0.937843131
AFT-Net (I),8x,0.952471992
AFT-Net (I),8x,0.952725307
AFT-Net (I),8x,0.910246179
AFT-Net (I),8x,0.939185651
AFT-Net (I),8x,0.940045782
AFT-Net (I),8x,0.940075802
AFT-Net (I),8x,0.938694456
AFT-Net (I),8x,0.937880674
AFT-Net (I),8x,0.938336865
AFT-Net (I),8x,0.939669722
AFT-Net (I),8x,0.940144355
AFT-Net (I),8x,0.905420935
AFT-Net (I),8x,0.914009762
AFT-Net (I),8x,0.915199989
AFT-Net (I),8x,0.914466586
AFT-Net (I),8x,0.902964241
AFT-Net (I),8x,0.91114907
AFT-Net (I),8x,0.908117756
AFT-Net (I),8x,0.90334304
AFT-Net (I),8x,0.930792016
AFT-Net (I),8x,0.930886314
AFT-Net (I),8x,0.930358129
AFT-Net (I),8x,0.93122766
AFT-Net (I),8x,0.876175534
AFT-Net (I),8x,0.874590963
AFT-Net (I),8x,0.877887852
AFT-Net (I),8x,0.874564599
AFT-Net (I),8x,0.937926215
AFT-Net (I),8x,0.939215567
AFT-Net (I),8x,0.939390327
AFT-Net (I),8x,0.93992112
AFT-Net (I),8x,0.947168984
AFT-Net (I),8x,0.946283783
AFT-Net (I),8x,0.9434161
AFT-Net (I),8x,0.934708345
AFT-Net (I),8x,0.887474905
AFT-Net (I),8x,0.882626753
AFT-Net (I),8x,0.880553126
AFT-Net (I),8x,0.881598327
AFT-Net (I),8x,0.938966282
AFT-Net (I),8x,0.936859964
AFT-Net (I),8x,0.939663744
AFT-Net (I),8x,0.941129885
AFT-Net (I),8x,0.868596707
AFT-Net (I),8x,0.869178147
AFT-Net (I),8x,0.848973758
AFT-Net (I),8x,0.835963599
AFT-Net (I),8x,0.925525243
AFT-Net (I),8x,0.928950529
AFT-Net (I),8x,0.925876664
AFT-Net (I),8x,0.925257419
AFT-Net (I),8x,0.925612878
AFT-Net (I),8x,0.92537804
AFT-Net (I),8x,0.924909211
AFT-Net (I),8x,0.923309932
AFT-Net (I),8x,0.93780513
AFT-Net (I),8x,0.93980649
AFT-Net (I),8x,0.935469477
AFT-Net (I),8x,0.932445961
AFT-Net (I),8x,0.934229858
AFT-Net (I),8x,0.938740549
AFT-Net (I),8x,0.940896134
AFT-Net (I),8x,0.936329096
AFT-Net (I),8x,0.942155674
AFT-Net (I),8x,0.943954896
AFT-Net (I),8x,0.942162371
AFT-Net (I),8x,0.938867775
AFT-Net (I),8x,0.916216592
AFT-Net (I),8x,0.916103996
AFT-Net (I),8x,0.916260442
AFT-Net (I),8x,0.914919882
AFT-Net (I),16x,0.912439632
AFT-Net (I),16x,0.910628551
AFT-Net (I),16x,0.909516798
AFT-Net (I),16x,0.90845545
AFT-Net (I),16x,0.85719371
AFT-Net (I),16x,0.871760044
AFT-Net (I),16x,0.866144845
AFT-Net (I),16x,0.864350837
AFT-Net (I),16x,0.876764062
AFT-Net (I),16x,0.879505131
AFT-Net (I),16x,0.878845357
AFT-Net (I),16x,0.876233106
AFT-Net (I),16x,0.925844655
AFT-Net (I),16x,0.926003864
AFT-Net (I),16x,0.925295276
AFT-Net (I),16x,0.924774333
AFT-Net (I),16x,0.92757983
AFT-Net (I),16x,0.931281108
AFT-Net (I),16x,0.930062527
AFT-Net (I),16x,0.932347464
AFT-Net (I),16x,0.884181417
AFT-Net (I),16x,0.933307995
AFT-Net (I),16x,0.932254919
AFT-Net (I),16x,0.935327705
AFT-Net (I),16x,0.910725386
AFT-Net (I),16x,0.930265802
AFT-Net (I),16x,0.930583304
AFT-Net (I),16x,0.876208411
AFT-Net (I),16x,0.923000253
AFT-Net (I),16x,0.924273089
AFT-Net (I),16x,0.924922998
AFT-Net (I),16x,0.923165522
AFT-Net (I),16x,0.919002713
AFT-Net (I),16x,0.92205372
AFT-Net (I),16x,0.923684254
AFT-Net (I),16x,0.92442008
AFT-Net (I),16x,0.866571158
AFT-Net (I),16x,0.892302214
AFT-Net (I),16x,0.892098208
AFT-Net (I),16x,0.892255087
AFT-Net (I),16x,0.877882393
AFT-Net (I),16x,0.888633859
AFT-Net (I),16x,0.884743579
AFT-Net (I),16x,0.878955461
AFT-Net (I),16x,0.908771387
AFT-Net (I),16x,0.909728175
AFT-Net (I),16x,0.909074254
AFT-Net (I),16x,0.910689947
AFT-Net (I),16x,0.851958109
AFT-Net (I),16x,0.849811234
AFT-Net (I),16x,0.852986518
AFT-Net (I),16x,0.85086702
AFT-Net (I),16x,0.922033126
AFT-Net (I),16x,0.924218145
